HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Wrexham,Maidenhead United,1,1,1,0
Eastleigh,Chesterfield,0,1,0,0
Southend United,Barnet,2,1,1,1
Yeovil Town,Weymouth,1,1,1,0
Aldershot Town,Barnet,1,3,1,1
Altrincham,Woking,2,2,1,1
Chesterfield,Dagenham & Redbridge,2,1,1,1
King's Lynn Town,Weymouth,3,0,0,1
Maidenhead United,Eastleigh,2,2,1,1
Notts County,Grimsby Town,1,2,1,1
Stockport County,Dover Athletic,1,0,0,0
Torquay United,Wrexham,1,0,0,0
Yeovil Town,Solihull Moors,0,0,0,0
Grimsby Town,King's Lynn Town,0,0,0,0
Southend United,Bromley,2,0,0,0
Stockport County,Chesterfield,2,2,1,1
Wealdstone,Yeovil Town,2,1,1,1
Notts County,Barnet,6,1,1,1
King's Lynn Town,Altrincham,0,1,0,0
Barnet,Wealdstone,1,3,1,1
Dover Athletic,Torquay United,1,3,1,1
Eastleigh,Yeovil Town,0,0,0,0
Grimsby Town,Aldershot Town,3,1,1,1
Weymouth,Chesterfield,1,1,1,0
Woking,Southend United,2,3,1,1
Weymouth,Eastleigh,1,0,0,0
Boreham Wood,Altrincham,2,0,0,0
Bromley,Stockport County,1,3,1,1
Chesterfield,Solihull Moors,2,3,1,1
Notts County,Eastleigh,2,0,0,0
Stockport County,Woking,1,0,0,0
Torquay United,Barnet,2,2,1,1
Wealdstone,Wrexham,1,2,1,1
Maidenhead United,Boreham Wood,2,0,0,0
Aldershot Town,Dover Athletic,0,0,0,0
Barnet,King's Lynn Town,0,0,0,0
Chesterfield,Wrexham,0,2,0,0
Dagenham & Redbridge,Woking,1,1,1,0
Eastleigh,Southend United,1,1,1,0
Maidenhead United,Yeovil Town,1,1,1,0
Notts County,Halifax Town,1,1,1,0
Solihull Moors,Wealdstone,2,1,1,1
Torquay United,Boreham Wood,0,0,0,0
Weymouth,Bromley,2,2,1,1
Altrincham,Dagenham & Redbridge,3,0,0,1
Boreham Wood,Eastleigh,1,0,0,0
Dover Athletic,Grimsby Town,1,3,1,1
Halifax Town,Barnet,1,0,0,0
King's Lynn Town,Maidenhead United,1,4,1,1
Southend United,Solihull Moors,1,1,1,0
Stockport County,Weymouth,1,0,0,0
Woking,Notts County,0,2,0,0
Wrexham,Aldershot Town,4,1,1,1
Wealdstone,Torquay United,1,1,1,0
Chesterfield,Yeovil Town,1,0,0,0
Chesterfield,Notts County,3,1,1,1
Dagenham & Redbridge,Maidenhead United,3,0,0,1
Wrexham,King's Lynn Town,2,0,0,0
Barnet,Dover Athletic,6,0,0,1
Chesterfield,Southend United,2,2,1,1
Eastleigh,Wealdstone,4,1,1,1
Grimsby Town,Woking,1,0,0,0
Maidenhead United,Altrincham,0,0,0,0
Notts County,Yeovil Town,1,1,1,0
Solihull Moors,King's Lynn Town,2,2,1,1
Torquay United,Bromley,0,0,0,0
Weymouth,Halifax Town,0,2,0,0
Aldershot Town,Stockport County,0,2,0,0
Maidenhead United,Wealdstone,0,2,0,0
King's Lynn Town,Woking,0,0,0,0
Wrexham,Boreham Wood,4,2,1,1
Solihull Moors,Notts County,3,3,1,1
Altrincham,Weymouth,5,0,0,1
Southend United,Grimsby Town,1,0,0,0
Yeovil Town,Dagenham & Redbridge,0,3,0,1
Halifax Town,Dover Athletic,2,1,1,1
Altrincham,Eastleigh,4,0,0,1
King's Lynn Town,Torquay United,2,3,1,1
Wealdstone,Weymouth,3,2,1,1
Woking,Maidenhead United,1,0,0,0
Yeovil Town,Grimsby Town,0,2,0,0
Boreham Wood,Chesterfield,1,1,1,0
Barnet,Boreham Wood,1,0,0,0
Halifax Town,Bromley,1,0,0,0
Southend United,Dagenham & Redbridge,0,3,0,1
Stockport County,Notts County,3,0,0,1
Aldershot Town,King's Lynn Town,0,3,0,1
Barnet,Woking,0,2,0,0
Boreham Wood,Grimsby Town,0,0,0,0
Bromley,Wrexham,0,0,0,0
Chesterfield,Maidenhead United,1,0,0,0
Dagenham & Redbridge,Notts County,1,2,1,1
Dover Athletic,Yeovil Town,0,2,0,0
Halifax Town,Torquay United,2,0,0,0
Solihull Moors,Eastleigh,5,3,1,1
Southend United,Altrincham,2,0,0,0
Stockport County,Wealdstone,4,2,1,1
Altrincham,Chesterfield,1,0,0,0
Eastleigh,Dagenham & Redbridge,0,1,0,0
Grimsby Town,Solihull Moors,1,2,1,1
King's Lynn Town,Stockport County,0,3,0,1
Maidenhead United,Southend United,2,1,1,1
Notts County,Boreham Wood,1,0,0,0
Torquay United,Aldershot Town,4,0,0,1
Woking,Weymouth,2,0,0,0
Wrexham,Halifax Town,3,1,1,1
Yeovil Town,Bromley,2,1,1,1
Altrincham,Aldershot Town,1,0,0,0
Eastleigh,Stockport County,0,2,0,0
Grimsby Town,Dagenham & Redbridge,2,1,1,1
King's Lynn Town,Halifax Town,2,0,0,0
Maidenhead United,Barnet,1,2,1,1
Notts County,Chesterfield,1,1,1,0
Torquay United,Weymouth,3,0,0,1
Wealdstone,Bromley,1,1,1,0
Woking,Solihull Moors,2,3,1,1
Wrexham,Dover Athletic,6,5,1,1
Yeovil Town,Southend United,2,0,0,0
Aldershot Town,Eastleigh,0,2,0,0
Barnet,Yeovil Town,2,2,1,1
Chesterfield,Grimsby Town,1,4,1,1
Dover Athletic,King's Lynn Town,1,1,1,0
Halifax Town,Wealdstone,2,0,0,0
Solihull Moors,Maidenhead United,3,1,1,1
Southend United,Notts County,0,3,0,1
Boreham Wood,Woking,0,1,0,0
Wealdstone,Maidenhead United,0,0,0,0
King's Lynn Town,Bromley,1,0,0,0
Dagenham & Redbridge,Boreham Wood,0,0,0,0
Halifax Town,Solihull Moors,0,0,0,0
Wrexham,Barnet,6,0,0,1
Aldershot Town,Boreham Wood,2,1,1,1
Barnet,Solihull Moors,0,2,0,0
Bromley,Dagenham & Redbridge,0,2,0,0
Dover Athletic,Maidenhead United,0,1,0,0
Halifax Town,Woking,2,1,1,1
King's Lynn Town,Yeovil Town,2,2,1,1
Torquay United,Notts County,5,1,1,1
Wealdstone,Chesterfield,1,2,1,1
Weymouth,Grimsby Town,0,0,0,0
Wrexham,Eastleigh,3,2,1,1
Stockport County,Southend United,5,0,0,1
Wrexham,Solihull Moors,1,1,1,0
Altrincham,Halifax Town,1,1,1,0
Boreham Wood,Dover Athletic,1,2,1,1
Dagenham & Redbridge,Barnet,7,3,1,1
Eastleigh,Bromley,0,2,0,0
Grimsby Town,Stockport County,2,1,1,1
Maidenhead United,Weymouth,2,0,0,0
Notts County,King's Lynn Town,4,1,1,1
Southend United,Wealdstone,0,1,0,0
Woking,Torquay United,0,1,0,0
Yeovil Town,Aldershot Town,0,2,0,0
Weymouth,Yeovil Town,0,0,0,0
Aldershot Town,Dagenham & Redbridge,0,2,0,0
Barnet,Southend United,1,3,1,1
Bromley,Maidenhead United,0,0,0,0
Dover Athletic,Woking,1,4,1,1
King's Lynn Town,Grimsby Town,0,1,0,0
Stockport County,Solihull Moors,1,0,0,0
Torquay United,Eastleigh,0,0,0,0
Wealdstone,Boreham Wood,2,0,0,0
Wrexham,Altrincham,4,0,0,1
Halifax Town,Chesterfield,2,0,0,0
Altrincham,Wealdstone,4,2,1,1
Boreham Wood,Bromley,2,0,0,0
Chesterfield,Dover Athletic,3,2,1,1
Dagenham & Redbridge,King's Lynn Town,1,1,1,0
Eastleigh,Barnet,2,3,1,1
Grimsby Town,Torquay United,2,1,1,1
Notts County,Weymouth,3,1,1,1
Solihull Moors,Aldershot Town,2,1,1,1
Southend United,Halifax Town,1,0,0,0
Yeovil Town,Stockport County,2,1,1,1
Woking,Wrexham,2,1,1,1
Dover Athletic,Notts County,0,3,0,1
Southend United,Boreham Wood,1,0,0,0
Bromley,Aldershot Town,1,1,1,0
Weymouth,Wrexham,1,6,1,1
Aldershot Town,Notts County,3,1,1,1
Barnet,Grimsby Town,2,2,1,1
Bromley,Chesterfield,4,2,1,1
Dover Athletic,Altrincham,0,1,0,0
Halifax Town,Yeovil Town,1,0,0,0
King's Lynn Town,Eastleigh,3,3,1,1
Torquay United,Maidenhead United,1,1,1,0
Wealdstone,Dagenham & Redbridge,1,2,1,1
Weymouth,Solihull Moors,2,4,1,1
